Sample,Sum
Q16630,0.2787416931493424
P50151,0.27867943582290944
Q13576,0.2784505131464671
Q9H4A6,0.27843029071815445
Q16363,0.27830287523243025
P41222,0.27819326151385226
P02747,0.2781070813722656
O14639,0.27787640155768245
P27169,0.2778501277629822
P13647,0.27777098886848517
P53999,0.27760861613705634
P14317,0.27741020961631785
Q9Y657,0.2773550990179678
P11413,0.2773482343025315
Q9P000,0.2773024067278021
O95816,0.27728451197822984
P62328,0.27700602019988185
Q9Y6C2,0.2767592037301607
Q9C005,0.2767430022939448
P14543,0.27662139618591675
P10599,0.2762056332599477
P18859,0.27615658634732054
Q9NRW3,0.2761382555882874
Q07507,0.27584064951731957
P46939,0.2756316230789234
P06312,0.27560427417195116
Q13347,0.2754831528918448
Q96FQ6,0.27538336336068786
P26368,0.2751408657647073
O15460,0.27503586582145906
Q92597,0.2743211871578028
P16278,0.2742667826261626
P39687,0.274011201090514
P45973,0.2739463509442114
P07099,0.2738887784266143
Q8NDH3,0.27383361311362586
P32455,0.273665598847963
P27144,0.27346210956580475
P29762,0.27299037083078037
P63279,0.27294935894166383
P46776,0.27274660331922307
Q96HF1,0.2727032114487676
Q8NI27,0.2723516382838858
P19623,0.2722762842571521
Q8IVF2,0.27201982884232323
Q9UBR2,0.271842070544253
P0DOX7,0.27173126311559415
O75884,0.27125206216495057
P51648,0.2712310117461081
P07686,0.2710641791273366
Q9BX66,0.27102193531848234
P04114,0.27092132291792437
P23786,0.27089478641726805
Q9GZT4,0.27085926183520537
Q96EY1,0.2706404503628097
P02746,0.2704987850359317
Q13308,0.2702998282733959
Q13501,0.2702652828547253
Q99584,0.27013969254912507
O00468,0.27013736694419815
Q7Z739,0.2701371115509789
P01619,0.27011250394602715
Q9BWS9,0.2700212863016609
Q16658,0.26985658473759294
P16070,0.26933168102771043
P08294,0.26912961500910315
P50995,0.26906381310796146
P11532,0.2690512063403769
P12110,0.2690253316292297
P39060,0.2690205673649943
Q9Y625,0.26891450355719804
P0DMN0,0.26879476492282867
P00450,0.2687161967177411
P17677,0.26869540943662207
P08779,0.26864578345036694
P42126,0.2686251070076258
Q96TA1,0.2685050424993457
Q9BTT0,0.2684636402701276
O15127,0.26840597948674616
Q13542,0.268305721118982
P42766,0.2681916315577822
O14558,0.2681276420591674
